,drive_id,offense,defense,drive_number,start_period,start_time_min,start_time_sec,start_yardline,start_ytg,drive_result,end_period,end_time_min,end_time_sec,end_yardline,end_ytg,num_plays,score,yards_gained,game_id
0,4012070981,North Texas,Houston Baptist,1,1,15,0,25,75,TD,1,12,31,100,0,10,True,75,401207098
1,4012070982,Houston Baptist,North Texas,2,1,12,31,90,90,DOWNS,1,8,23,5,5,9,False,85,401207098
2,4012070983,North Texas,Houston Baptist,3,1,8,23,5,95,TD,1,6,7,100,0,8,True,95,401207098
3,4012070984,Houston Baptist,North Texas,4,1,6,7,82,82,MISSED FG,1,1,43,26,26,11,False,56,401207098
4,4012070985,North Texas,Houston Baptist,5,1,1,43,26,74,TD,2,14,35,100,0,8,True,74,401207098
5,4012070986,Houston Baptist,North Texas,6,2,14,35,81,81,PUNT,2,0,0,64,64,5,False,17,401207098
6,4012070987,North Texas,Houston Baptist,7,2,12,6,23,77,INT,2,0,0,23,77,2,False,0,401207098
7,4012070988,Houston Baptist,North Texas,8,2,11,35,29,29,TD,2,9,39,0,0,5,True,29,401207098
8,4012070989,North Texas,Houston Baptist,9,2,9,39,25,75,PUNT,2,0,0,52,48,4,False,27,401207098
9,40120709810,Houston Baptist,North Texas,10,2,7,44,80,80,MISSED FG,2,4,25,13,13,13,False,67,401207098
10,40120709811,North Texas,Houston Baptist,11,2,4,25,20,80,FG,2,1,18,87,13,9,True,67,401207098
11,40120709812,Houston Baptist,North Texas,12,2,1,18,75,75,FG,2,15,0,33,33,5,True,42,401207098
12,40120709813,Houston Baptist,North Texas,13,3,15,0,75,75,MISSED FG,3,10,41,33,33,11,False,42,401207098
13,40120709814,North Texas,Houston Baptist,14,3,10,41,33,67,TD,3,8,23,100,0,7,True,67,401207098
14,40120709815,Houston Baptist,North Texas,15,3,8,23,75,75,PUNT,3,7,46,71,71,3,False,4,401207098
15,40120709816,North Texas,Houston Baptist,16,3,7,46,21,79,TD,3,7,8,100,0,3,True,79,401207098
16,40120709817,Houston Baptist,North Texas,17,3,7,8,75,75,PUNT,3,5,56,72,72,3,False,3,401207098
17,40120709818,North Texas,Houston Baptist,18,3,5,56,30,70,TD,3,3,37,100,0,8,True,70,401207098
18,40120709819,Houston Baptist,North Texas,19,3,3,37,75,75,TD,3,0,30,0,0,10,True,75,401207098
19,40120709820,North Texas,Houston Baptist,20,3,0,30,25,75,TD,4,14,25,100,0,4,True,75,401207098
20,40120709821,Houston Baptist,North Texas,21,4,14,25,81,81,PUNT,4,0,0,88,88,3,False,-7,401207098
21,40120709822,North Texas,Houston Baptist,22,4,13,15,45,55,TD,4,11,19,100,0,7,True,55,401207098
22,40120709823,Houston Baptist,North Texas,23,4,11,19,97,97,TD,4,9,36,0,0,6,True,97,401207098
23,40120709824,North Texas,Houston Baptist,24,4,9,36,25,75,PUNT,4,0,0,41,59,5,False,16,401207098
