,drive_id,offense,defense,drive_number,start_period,start_time_min,start_time_sec,start_yardline,start_ytg,drive_result,end_period,end_time_min,end_time_sec,end_yardline,end_ytg,num_plays,score,yards_gained,game_id
14165,4010150327,Florida Atlantic,Florida International,7,2,9,12,79,79,DOWNS,2,8,29,71,71,4,False,8,401015032
14166,4010150328,Florida International,Florida Atlantic,8,2,8,29,71,29,TD,2,7,21,100,0,4,True,29,401015032
14167,4010150329,Florida Atlantic,Florida International,9,2,7,21,75,75,TD,2,4,27,0,0,8,True,75,401015032
14168,40101503210,Florida International,Florida Atlantic,10,2,4,27,28,72,PUNT,2,0,58,41,59,6,False,13,401015032
14169,40101503211,Florida Atlantic,Florida International,11,2,0,58,88,88,END OF HALF,2,0,0,84,84,2,False,4,401015032
14170,40101503212,Florida International,Florida Atlantic,12,3,15,0,22,78,TD,3,8,47,100,0,11,True,78,401015032
14171,40101503213,Florida Atlantic,Florida International,13,3,8,47,75,75,TD,3,4,50,0,0,10,True,75,401015032
14172,40101503214,Florida International,Florida Atlantic,14,3,4,50,25,75,PUNT,3,1,26,43,57,6,False,18,401015032
14173,40101503215,Florida Atlantic,Florida International,15,3,1,26,78,78,TD,4,13,4,0,0,8,True,78,401015032
14174,40101503216,Florida International,Florida Atlantic,16,4,13,4,25,75,DOWNS,4,11,0,69,31,6,False,44,401015032
14175,40101503217,Florida Atlantic,Florida International,17,4,11,0,69,69,TD,4,8,35,0,0,7,True,69,401015032
14176,40101503218,Florida International,Florida Atlantic,18,4,8,35,25,75,INT,4,6,56,34,66,6,False,9,401015032
14177,40101503219,Florida Atlantic,Florida International,19,4,6,56,35,35,TD,4,6,2,0,0,3,True,35,401015032
14178,40101503220,Florida International,Florida Atlantic,20,4,6,2,25,75,INT,4,3,52,43,57,4,False,18,401015032
14179,40101503221,Florida Atlantic,Florida International,21,4,3,52,49,49,TD,4,0,27,0,0,6,True,49,401015032
14180,40101503222,Florida International,Florida Atlantic,22,4,0,27,30,70,END OF GAME,4,0,0,35,65,1,False,5,401015032
14181,4010150331,Southern Mississippi,Marshall,1,1,15,0,32,68,FG,1,7,18,71,29,12,True,39,401015033
14182,4010150332,Marshall,Southern Mississippi,2,1,7,18,68,68,PUNT,1,5,35,55,55,4,False,13,401015033
14183,4010150333,Southern Mississippi,Marshall,3,1,5,35,4,96,PUNT,1,3,48,7,93,3,False,3,401015033
14184,4010150334,Marshall,Southern Mississippi,4,1,3,48,29,29,FG,1,0,0,7,7,10,True,22,401015033
14185,4010150335,Southern Mississippi,Marshall,5,2,14,54,17,83,PUNT,2,12,6,30,70,6,False,13,401015033
14186,4010150336,Marshall,Southern Mississippi,6,2,12,6,75,75,PUNT,2,10,31,45,45,4,False,30,401015033
14187,4010150337,Southern Mississippi,Marshall,7,2,10,31,26,74,PUNT,2,8,40,25,75,3,False,-1,401015033
14188,4010150338,Marshall,Southern Mississippi,8,2,8,40,59,59,PUNT,2,7,11,65,65,3,False,-6,401015033
14189,4010150339,Southern Mississippi,Marshall,9,2,7,11,16,84,FUMBLE TD,2,5,4,8,92,4,True,-8,401015033
14190,40101503311,Southern Mississippi,Marshall,10,2,4,53,32,68,FUMBLE,2,3,40,36,64,3,False,4,401015033
14191,40101503312,Marshall,Southern Mississippi,11,2,3,40,36,36,INT,2,2,58,35,35,2,False,1,401015033
14192,40101503313,Southern Mississippi,Marshall,12,2,2,58,54,46,TD,2,0,44,100,0,5,True,46,401015033
14193,40101503314,Marshall,Southern Mississippi,13,2,0,44,73,73,FUMBLE TD,2,0,33,83,83,1,True,-10,401015033
14194,40101503316,Marshall,Southern Mississippi,14,2,0,29,65,65,END OF HALF,2,0,0,66,66,1,False,-1,401015033
14195,40101503317,Marshall,Southern Mississippi,15,3,15,0,75,75,PUNT,3,13,55,69,69,3,False,6,401015033
14196,40101503318,Southern Mississippi,Marshall,16,3,13,55,35,65,DOWNS,3,9,29,66,34,9,False,31,401015033
14197,40101503319,Marshall,Southern Mississippi,17,3,9,29,66,66,TD,3,8,28,0,0,4,True,66,401015033
